Number,W2V_google_0,W2V_google_score0,W2V_google_1,W2V_google_score1,W2V_google_2,W2V_google_score2,W2V_google_3,W2V_google_score3,W2V_google_4,W2V_google_score4
12657,14694,0.4667547715181014,3033,0.4669847045744536,17045,0.4680875957487628,7935,0.48559265322123035,13176,0.5178919694954383
12656,12976,0.9998084021487964,16043,0.9998271868356287,12169,0.9998324258730577,9009,0.9998617279499845,10525,0.9998626583888467
12655,16532,0.9996455339175687,1849,0.999646075596761,10250,0.9996480236840702,5094,0.9996494785404569,7991,0.9996509590483811
12654,11087,0.9999999999999957,9583,0.999999999999996,12959,1.0,12898,1.0,11284,1.0
12653,4558,0.999947824038838,5298,0.9999503385377375,8430,0.9999506406666853,8966,0.9999511838906843,7635,0.9999523459823386
12652,14078,0.4467297410375482,8911,0.44927996408498155,290,0.4501462433843565,882,0.4577118609153346,1212,0.46027329879992956
12651,10673,0.9991769893054986,823,0.9992392795378495,7840,0.9993549342137078,8843,0.999840377660597,5448,0.9998599458018529
12650,16805,0.9973322259588028,10327,0.997340465918401,10320,0.9973406721308914,6754,0.9973419920241358,8290,0.9973428620370959
12649,16172,0.9999497250132904,6564,0.9999499508393336,15013,0.9999518319008911,14659,0.9999521378802945,1032,0.9999911158603952
12648,14049,0.9999679234069525,2425,0.9999693907849223,6168,0.9999706233054697,3412,0.9999953932626303,5833,0.9999988994248155
12647,13606,0.999999437656411,10989,0.999999960481687,12943,0.9999999605703126,11817,0.9999999648294875,12897,0.9999999903824861
12646,1537,0.9998433697477165,7548,0.9998438584137905,12710,0.9998443712147439,1853,0.9998457960593581,13821,0.999850109632121
12645,4009,0.9993619802001241,6704,0.999362712348049,10902,0.999376932686164,11198,0.9993864917410792,1524,0.9994199378343588
12644,10381,0.99989797752039,1441,0.9999046749607772,16246,0.9999048665275743,15018,0.9999062407237108,8710,0.9999089768828314
12643,2860,0.9999010383486553,13293,0.9999020157313352,15897,0.9999021934749301,2720,0.9999042396229715,5456,0.9999054720502866
12642,1243,0.9996705603655411,10624,0.9996711186212593,14604,0.9996776373496689,16938,0.9996786068854051,12416,0.9999870669263993
12641,12612,0.9992469741223594,10156,0.9992471689314671,9290,0.999251195071243,12787,0.9992972207100953,2193,0.9993034213762516
12640,14034,0.3454122656297146,12937,0.3622168282070391,10580,0.44324487297046217,15765,0.9999012787097491,12000,0.9999018621886425
12639,16504,0.9999305970068696,7105,0.9999351568482612,12927,0.9999378787531545,2061,0.999939976456317,4597,0.9999414976291613
12638,5482,0.4682380750993816,16173,0.5193812139101123,9578,0.5209524139008743,12821,0.5837680011263248,2032,0.9972873792523189
12637,7033,0.9979537515535385,12841,0.9979572886255709,13892,0.9979658700166938,5428,0.998058173766032,10781,0.998119683060616
12636,4751,0.9996316122308511,1238,0.9996316549336998,12631,0.999631805440411,4174,0.9996323278682254,5523,0.999892082319912
12635,10713,0.9282058009136387,4785,0.9998585281426483,5580,0.9999371109533909,5900,0.9999592458807159,528,0.9999678376018272
12634,14714,0.9999999984795667,13843,0.9999999984795667,12938,0.9999999984795953,13226,0.9999999984800343,15891,0.9999999999996583
12633,14822,0.9997064644608946,1397,0.9997124450040863,11194,0.9997190654474933,4652,0.9997204061744333,9568,0.999724197165991
12632,9232,0.9992771195691129,5724,0.9992775893291876,6567,0.9992781346471759,9946,0.9992931163308189,5098,0.9994090258331123
12631,1238,0.9999975708634956,4751,0.9999978005701716,4174,0.9999991537066958,15684,0.999999662821941,12348,0.9999998813955657
12630,708,0.9999671791010022,3175,0.9999805072251751,13512,0.9999933284599337,12156,0.9999988396899615,12955,0.9999999015478563
12629,1927,0.999957940575812,15550,0.9999583645780659,6564,0.9999588421546638,13607,0.9999593781436655,6423,0.9999608264843937
12628,9509,0.47065746525620783,10509,0.4726567192247805,11968,0.4745797043920096,11310,0.4747837835574063,14583,0.9973379332017683
12627,9636,0.9999771871459822,16253,0.9999775706906551,4868,0.9999783639183363,14053,0.99999761999594,877,0.9999998044636392
12626,7842,0.9999944105557078,14771,0.9999950310572118,2277,0.9999954855633431,15973,0.999996183707356,14635,0.9999977062722821
12625,4002,0.9998448831054656,8705,0.9999253582736629,4230,0.9999531006378511,6508,0.9999600419173077,12949,0.9999674158592324
12624,8869,0.9999182426748491,15139,0.9999182915046528,17135,0.9999197078708868,16455,0.9999213640702446,16899,0.9999320379677962
12623,768,0.9998390306168101,12555,0.9998620402283946,10237,0.999870412790549,16821,0.9999577828069716,12002,0.9999612654660252
12622,2388,0.5520302708134187,13715,0.5521462923409064,3779,0.5524300740597751,3218,0.5526787045264384,13194,0.9997966108652291
12621,10118,0.9992957244682583,16234,0.9992990248819196,1668,0.9992999004464284,11771,0.9993030907381206,2485,0.9993222910061091
12620,10013,0.9943125557874017,8376,0.9945062272208847,318,0.9946103667742074,2909,0.9948002996017236,16508,0.9948340704531492
12619,2425,0.9994976580582241,11538,0.9995021656940305,7562,0.9995074797292691,6222,0.9995075749232182,12226,0.9995129574578182
12618,6951,0.9990979524340277,9406,0.9993285299111032,10260,0.9996197303757595,13151,0.999742933549582,2574,0.9998484575329369
12617,14788,0.9999309349933495,15695,0.9999326833184944,16932,0.9999340228496395,13780,0.9999343824457496,2174,0.9999363641176086
12616,3004,0.5221206830214852,3182,0.5446088464393842,2012,0.5455085468681327,14609,0.5459820466712884,17159,0.5468221190181662
12615,6752,0.9973417622251761,15390,0.9973639904559123,13445,0.9973938706842318,16192,0.9974228861881569,7558,0.9974933872723186
12614,3626,0.4639297924700378,8599,0.5314466524767543,3487,0.5363013417053507,4342,0.5378562334194396,9751,0.7261144674378294
12613,1547,0.9983259087230465,11598,0.9983343522418023,8708,0.9985185740698291,10372,0.9989063814655078,10422,0.9990199409176889
12612,2189,0.9999940355949003,1090,0.9999940766037387,5665,0.9999941458276461,4594,0.9999945468287136,6818,0.9999947320355695
12611,13293,0.9999554209290024,13273,0.9999554275383489,2675,0.9999566453994955,16470,0.9999569961561559,14865,0.999958956735884
12610,4675,0.9969416147113906,10536,0.9970458816465065,17084,0.9970463574624331,7081,0.9971565821233054,4475,0.9971606671707445
12609,4066,0.9998877199260623,2897,0.9998891147414933,5955,0.9999301861812323,13158,0.9999347014502835,3742,0.9999998545950378
